0.004,1.1355968,0.24274826,0.6064019,0.006,0.03184683,0.82861996,-0.06803686
0.015,1.0515555,0.31207466,0.48872435,0.014,0.04036683,0.79879993,-0.08188186
0.025,0.92189664,0.23323917,0.37687886,0.024,0.05421183,0.76365495,-0.095726855
0.036,0.6177876,0.2695675,0.49842286,0.035,0.08190183,0.71998996,-0.10637686
0.046,0.33067235,0.24183273,0.5937294,0.046,0.09468183,0.67632496,-0.113831855
0.056,-0.009116372,0.1881361,0.7330605,0.055,0.09361683,0.62307495,-0.10744186
0.065,-0.33813024,0.20624638,0.86955357,0.066,0.08296683,0.56343496,-0.094661854
0.075,-0.47051132,0.11418915,0.89950085,0.076,0.04995183,0.51870495,-0.094661854
0.085,-0.60646856,-0.004585266,0.9021741,0.086,0.018001828,0.49527493,-0.10105186
0.096,-0.58804846,-0.07830334,0.95182025,0.096,0.004156829,0.49314493,-0.09892186
0.106,-0.34761426,-0.21424389,1.062082,0.105,0.01906683,0.49953493,-0.09040186
0.116,0.11585708,-0.36626816,1.1902946,0.115,0.05847183,0.5037949,-0.09146686
0.127,0.5280066,-0.51712036,1.2552295,0.125,0.10533183,0.50698996,-0.103181854
0.135,0.8374604,-0.59735584,1.219556,0.136,0.13621683,0.51337993,-0.12022186
0.146,1.0831566,-0.6671972,1.065222,0.145,0.14260682,0.5208349,-0.13832687
0.156,1.0717664,-0.724782,1.0600259,0.156,0.14260682,0.52722496,-0.14578186
0.168,1.0944008,-0.6794596,1.2985492,0.168,0.15751684,0.53148496,-0.15962687
0.177,0.9629,-0.52639294,1.4854342,0.177,0.16710183,0.51444495,-0.17986186
0.187,0.88898695,-0.4045534,1.5390005,0.187,0.16710183,0.47929993,-0.19796686
0.197,0.734117,-0.24235725,1.463464,0.197,0.15219183,0.44095993,-0.21394187
0.207,0.58670396,-0.056957245,1.4224405,0.208,0.13621683,0.41113994,-0.22991687
0.218,0.5135353,0.024941444,1.4516764,0.219,0.12556683,0.38983995,-0.24376187
0.228,0.49014315,0.104073524,1.5491302,0.228,0.13089183,0.37066993,-0.25441185
0.24,0.52079517,0.20228863,1.6803651,0.239,0.14473683,0.34404492,-0.25121686
0.248,0.6328202,0.19546986,1.784023,0.248,0.15645184,0.30676994,-0.24376187
0.258,0.7684983,0.16747093,1.8241229,0.257,0.15964682,0.26629993,-0.23950186
0.269,0.78718746,0.22091389,1.8119075,0.268,0.15858182,0.23860992,-0.23630686
0.278,0.7964011,0.33635998,1.7565134,0.278,0.15964682,0.23008992,-0.22672187
0.289,0.8789209,0.39186192,1.6106398,0.288,0.14473683,0.23434992,-0.21394187
0.298,1.084132,0.35853004,1.4374363,0.299,0.14260682,0.24286993,-0.21926686
0.312,1.1887192,0.14128304,1.3695767,0.311,0.16603683,0.22795992,-0.23098187
0.319,1.1464605,-0.01745987,1.3807887,0.32,0.20224683,0.17790492,-0.22565687
0.329,1.2026452,-0.048342705,1.4168429,0.329,0.23100182,0.12997992,-0.20755187
0.346,1.3870512,-0.10472202,1.4819863,0.346,0.2501718,0.10228992,-0.19051187
0.352,1.4838865,-0.02666378,1.5560203,0.351,0.26827684,0.09057492,-0.16388686
0.36,1.5397902,0.28101158,1.5383811,0.359,0.30022684,0.08205492,-0.122351855
0.37,1.6561201,0.77503014,1.3423597,0.371,0.35880184,0.08098992,-0.06377686
0.381,1.8547425,1.5104866,0.8993423,0.38,0.43335184,0.09696492,-9.4185956E-4
0.391,2.0629349,2.367753,0.25940156,0.39,0.48660183,0.15553991,0.022488141
0.401,2.326544,3.119175,-0.5073948,0.401,0.47169182,0.27801493,-0.002006859
0.412,2.564901,3.460041,-1.2687478,0.412,0.36519182,0.42285493,-0.044606857
0.421,2.454222,3.4296694,-1.8187084,0.421,0.18627183,0.5400049,-0.06697186
0.432,2.2042966,3.0006695,-2.1124752,0.431,-0.0118181715,0.61561996,-0.086141855
0.442,1.8545151,2.481656,-1.9687097,0.442,-0.17689317,0.60816497,-0.12448186
0.454,1.4092773,1.9716873,-1.5263605,0.453,-0.28126317,0.53467995,-0.19370687
0.462,0.91670066,1.4007177,-1.052665,0.461,-0.28552318,0.46864992,-0.27464685
0.472,0.5212718,0.42507553,-0.6571293,0.472,-0.18434817,0.38238493,-0.36410686
0.482,-0.036402553,-0.7173424,-0.68508434,0.482,-0.02885817,0.23328492,-0.42481184
0.493,-0.7860069,-1.5444946,-1.0178773,0.492,0.14580183,0.069274925,-0.43972185
0.503,-1.5208535,-2.0471535,-1.2921166,0.502,0.32365683,-0.07556508,-0.42161685
0.513,-1.9822154,-2.3025284,-1.5604458,0.513,0.49086183,-0.17035007,-0.39605686
0.522,-2.1127353,-2.2491956,-1.795161,0.523,0.6218568,-0.18739007,-0.35665184
0.533,-2.1003735,-1.9770432,-1.9851482,0.533,0.6953418,-0.15757008,-0.30553186
